委托加工单ID,零件图号,工厂编号,零件名称,委托日期,送达时间,数量,委托人,委托班组,状态,工时,系数,师傅姓名,批次号,客户名称,提交时间,优先级
WTD001,GP001,F001,高精度齿轮,2024-11-30,2024-12-05 14:00:00,100,李经理,A班组,进行中,8.5,1.2,张师傅,B20241201,华为技术有限公司,2024-12-01 09:00:00,3
WTD002,JZ002,F002,精密轴承,2024-11-29,2024-12-04 16:00:00,200,陈主管,B班组,待开始,6.0,1.1,王师傅,B20241202,小米科技,2024-12-01 10:30:00,2
WTD003,LH003,F001,铝合金外壳,2024-11-28,2024-12-03 10:00:00,150,王总监,C班组,已完成,4.5,0.9,李师傅,B20241203,苹果公司,2024-12-01 11:15:00,3
WTD004,DL004,F003,电路板组件,2024-11-27,2024-12-06 09:00:00,80,刘工程师,A班组,进行中,12.0,1.5,赵师傅,B20241204,三星电子,2024-12-01 14:20:00,2
WTD005,BG005,F002,不锈钢管件,2024-11-26,2024-12-07 11:00:00,300,张副总,B班组,待开始,3.2,0.8,孙师傅,B20241205,格力电器,2024-12-01 15:45:00,1
WTD006,SL006,F001,塑料模具,2024-11-25,2024-12-08 15:30:00,120,李部长,C班组,进行中,9.8,1.3,周师傅,B20241206,美的集团,2024-12-01 16:30:00,3
WTD007,JT007,F003,精密弹簧,2024-11-24,2024-12-02 12:00:00,250,王经理,A班组,已完成,5.5,1.0,吴师傅,B20241207,海尔智家,2024-12-02 08:00:00,2
WTD008,TS008,F002,铜制散热器,2024-11-23,2024-12-09 13:00:00,90,陈总工,B班组,待开始,7.2,1.1,郑师傅,B20241208,联想集团,2024-12-02 09:30:00,3
WTD009,TH009,F001,钛合金零件,2024-11-22,2024-12-10 08:00:00,60,李主任,C班组,进行中,15.0,1.8,马师傅,B20241209,比亚迪,2024-12-02 10:45:00,3
WTD010,TC010,F003,陶瓷绝缘体,2024-11-21,2024-12-11 14:30:00,180,张工程师,A班组,待开始,6.8,1.2,冯师傅,B20241210,宁德时代,2024-12-02 13:15:00,2
WTD011,TW011,F002,碳纤维板材,2024-11-20,2024-12-12 16:00:00,110,王技术员,B班组,进行中,11.5,1.6,何师傅,B20241211,中兴通讯,2024-12-02 14:50:00,1
WTD012,JM012,F001,硅胶密封圈,2024-11-19,2024-12-01 17:00:00,400,李质检员,C班组,已完成,2.8,0.7,梁师傅,B20241212,OPPO,2024-12-02 16:20:00,2